meta_prompt,obj1,obj2,obj3,obj4,rel1,rel2,synthetic_prompt
A train on top of a surfboard.,train,surfboard,,,top,,
A wine glass on top of a dog.,wine glass,dog,,,top,,
A bicycle on top of a boat.,bicycle,boat,,,top,,
An umbrella on top of a spoon.,umbrella,spoon,,,top,,
A laptop on top of a teddy bear.,laptop,teddy bear,,,top,,
A giraffe underneath a microwave.,giraffe,microwave,,,underneath,,
A donut underneath a toilet.,donut,toilet,,,underneath,,
A hair drier underneath a sheep.,hair drier,sheep,,,underneath,,
A tennis racket underneath a traffic light.,tennis racket,traffic light,,,underneath,,
A zebra underneath a broccoli.,zebra,broccoli,,,underneath,,
A banana on the left of an apple.,banana,apple,,,on the left,,
A couch on the left of a chair.,couch,chair,,,on the left,,
A car on the left of a bus.,car,bus,,,on the left,,
A cat on the left of a dog.,cat,dog,,,on the left,,
A carrot on the left of a broccoli.,carrot,broccoli,,,on the left,,
A pizza on the right of a suitcase.,pizza,suitcase,,,right,,
A cat on the right of a tennis racket.,cat,tennis racket,,,right,,
A stop sign on the right of a refrigerator.,stop sign,refrigerator,,,right,,
A sheep  right of a wine glass.,sheep,wine glass,,,right,,
A zebra  right of a fire hydrant.,zebra,fire hydrant,,,right,,
